Location,Equipment,Electricity consumption ( kWh ),,,,,,,
,,April' 24,,May '24,,June '24,,July '24,
,,RSEB,Solar,RSEB,Solar,RSEB,Solar,RSEB,Solar
Mines,Dewatering pump,538744,178713,571699,200345,594902,154584,460451,147598
,Screen plant,4782,1594,5173,1787,5793,1380,4406,1317
,Crusher,3891,1292,4318,1448,4681,1117,3863,1067
,Utility,5682,1897,6012,2126,5901,1650,4852,1566
Plant,Jet Mill,"114,698",38492,"155,052",43151,"157,919",33295,"126,378",31790
,Raymond Mill,128275,41241,110665,46233,96712,35673,90199,34061
,Utility,21084,7093,23081,7952,26292,6070,23851,5858
Total ( kWh ),," 	817,156 "," 	270,322 "," 	876,000 "," 	303,042 "," 	892,200 "," 	233,769 "," 	714,000 "," 	223,257 "